main_genre,avg_roi,median_roi,movies_qnt
Drama,11383.981517541582,1.1536222916666667,747
Horror,5178.558527694582,2.7277434666666664,197
Documentary,198.3932916612374,1.726873888888889,30
Western,7.311249120915187,1.9292727272727273,22
Animation,6.2067024181736326,1.6378178867924529,99
History,6.073236745093226,1.702818475,18
Adventure,4.712232113706292,1.654669122125604,288
Comedy,4.2595237540403215,1.4214085018518519,634
Science Fiction,4.189237539073704,1.842603464516129,79
Mystery,4.1476075449537735,1.4937108923076923,27
Fantasy,3.7034604745172697,1.298271846153846,93
Romance,3.434567089536911,1.3158412857142858,70
Music,3.0132862954511994,0.63726613125,20
Thriller,2.944354112314211,1.1080411166666666,118
Family,2.7195566144192185,1.8179838863636362,38
Crime,2.2776270718403384,1.1306030204081632,141
Action,1.8750905333145396,0.9823693472222221,588
War,1.4663093693573295,0.014086032096774195,18
Other,-0.163635,-0.163635,1
Foreign,-0.5053333333333333,-0.5053333333333333,1
